longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,bedroom_ratio
-122.23,37.88,41.0,6.78105762593618,4.867534450455582,5.777652323222656,4.844187086458591,2.23272041302106,3,0.1367931128813568
-122.22,37.86,21.0,8.867850063029406,7.009408932708637,7.784057002639929,7.037905963447182,2.2301649264639662,3,0.1447897954848054
-122.24,37.85,52.0,7.291656209174461,5.25227342804663,6.208590026096629,5.181783550292085,2.111109768006633,3,0.1217892392835812
-122.25,37.85,52.0,7.150701457592526,5.4638318050256105,6.326149473155099,5.393627546352362,1.893578722009513,3,0.16928562263574023
-122.25,37.85,52.0,7.395107546562485,5.638354669333745,6.338594078203183,5.560681631015528,1.5781948926941685,3,0.15879349838138127
-122.25,37.85,52.0,6.824373670043086,5.365976015021851,6.025865973825314,5.267858159063328,1.6167709598008924,3,0.2084551364074412
-122.25,37.84,52.0,7.8383433155571165,6.194405391104672,6.9985096422506015,6.244166900663736,1.5388222964377556,3,0.17638682127414007
-122.25,37.84,52.0,8.040768994367578,6.5337888379333435,7.05444965813294,6.473890696352274,1.415853163361435,3,0.19993823421322546
-122.26,37.84,42.0,7.846198815497425,6.501289670540389,7.095893221097532,6.39024066706535,1.125059458682958,3,0.23132913590064919
-122.25,37.84,52.0,8.174702882469461,6.56244409369372,7.347299700743164,6.5722825426940075,1.5456884132701407,3,0.18166387837498385
-122.26,37.85,52.0,7.697575346802343,6.075346031088684,6.814542897259958,5.998936561946683,1.4358223482690877,3,0.17989657833977257
-122.26,37.85,52.0,8.161660452056282,6.6240652277998935,7.316548177182976,6.5998704992128365,1.4517309164040648,3,0.19447501780998772
-122.26,37.85,52.0,7.820840879907344,6.163314804034641,7.002155954403621,6.150602768446279,1.404870746692826,3,0.17419279616964542
-122.26,37.84,52.0,6.546785410760524,5.2574953720277815,5.846438775057725,5.1647859739235145,1.3011721077030556,3,0.24249532197515986
-122.26,37.85,52.0,7.880048200971577,6.440946540632921,7.10085190894405,6.431331081933479,1.0704528402075364,3,0.21256949211992143
-122.26,37.85,50.0,7.02197642307216,5.648974238161206,6.548219102762372,5.579729825986222,1.1394342831883648,3,0.22528411581332072
-122.27,37.85,52.0,7.584264818389059,5.8522024797744745,6.677083461247136,5.805134968916488,1.328400382700988,3,0.1625443615243273
-122.27,37.85,52.0,7.113956109566034,5.683579767338681,6.47543271670409,5.717027701406222,1.137897102331012,3,0.21398118355220508
-122.26,37.84,50.0,7.7142311448490855,6.1224928095143865,6.898714534329988,6.040254711277414,1.0956412127231556,3,0.18499774037155445
-122.27,37.84,52.0,7.315883504509785,5.700443573390687,6.53813982376767,5.62040086571715,1.2818500922464173,3,0.1808789554229816
-122.27,37.85,40.0,6.62273632394984,5.220355825078324,6.016157159698354,5.117993812416755,0.85772898087589,3,0.21914087752455225
-122.27,37.85,42.0,7.402451520818244,5.908082938168931,6.835184586147301,5.905361848054571,0.9982393145213225,3,0.20205638977805115
-122.27,37.84,52.0,7.798523053625206,6.295266001439646,6.923628628138427,6.171700597410915,1.0024684281152074,3,0.20055873218598874
-122.27,37.84,52.0,7.4318919168078,5.823045895483019,6.74993119378857,5.786897381366708,1.1570698582396783,3,0.18202530438473707
-122.27,37.84,52.0,7.707512194600341,6.082218910376446,6.914730892718563,6.0473721790462776,1.2809338454620642,3,0.1793946156072162
